标题,内容
脚踝扭伤的恢复,"不需要用什么药物,如果用可以用点云南白药,有活血作用,可加快恢复,但作用有限.应该适当多活动一点.这里的医生都是用业余时间在这里回答问题的,请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
"我的母亲这段时间经常感到脚后跟疼痛,有时是走路后开始疼痛",足跟的问题，又可以称作：跟腱炎，内服药是肯定没什么效果的，因为该症状一般出现在老年人身上，而老年人经络一般均不太通畅，所以内服药很难通过气血流通到达病灶部位，故此效果不太好。而外敷药，由于那个部位的皮很硬（又称作死皮），所以外敷药也很难打透这层死皮到达患处。洋洋洒洒说了这么多，唯一的重点就是希望你不要乱花钱，给你省点小银子。治疗此症，用白醋泡干辣椒(一斤白醋泡2两干辣椒，干辣椒要掰碎浸泡)，至少浸泡一周后（浸泡的时间越长效果越好），涂抹患处，每日三到五次，每次10分钟左右，大概20天左右就不再疼了。祝患者好运！！！ 
请问关节囊内积液怎样处理?,积液不多的话是可以经过一段时间吸收的，严重的半月板损伤特别是全层撕裂，或者有膝关节屈伸功能受限，或者关节绞锁等情况的话，需要关节镜治疗
半月板损伤经过保守治疗后能完全康复吗?,
有两个脚趾甲逐渐长得变厚了，若剪它，感觉疼，不知该,
脚外反手术,
粉碎性骨折,
膑骨错位怎么治疗？有必要手术吗？,"及时手术治疗,你已经耽误了. "
脚扭伤消肿后发现脚外踝有个包,韧带粘连了，那个包就是粘连形成的疳结，针对此症，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结（粘连）疗效甚佳。祝你好运！！！ 
请问半月板损伤的保守治疗方法？,
脚趾手术后可以走路但不敢跑,足趾骨折愈合需要时间，一月骨折可以基本愈合，肌腱断裂修复一月已愈合。因外伤关节囊及肌腱出现黏连，需要逐渐锻炼屈伸，增加活动度，可以恢复行走及跑步。
"踢球促伤服药后仍觉左大腿外侧疼痛,是否腿骨促裂?请",
半月板损伤该怎么治疗?,你好。盘状属于先天。如果绞索频繁，最好手术。否则保守治疗。手术后容易引起创伤性关节炎。 
我母亲因为一次长时间蹲地后起身站立突然发现左脚不能,针对令慈的具体问题，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结（粘连）疗效甚佳。可能是韧带受凉引起的。祝令慈大人好运！！！ 
指甲根外露怎么办,"最好去医院看,注意感染! "
青青小猫请进来！！！关于小针刀治疗狭窄性腱鞘炎！！,你好，小针刀手术效果很好。也可以坚持按摩，被动锻炼，无效再手术。 
腱鞘炎需要动手术吗？,指导意见：
骨折的恢复,"你可以拍张x光片看一下骨折线处是否有骨痂，如果骨痂长的好就可以下地了,膝盖不消肿可能是没拆石膏造成血液循环不好，等石膏拆了锻炼一段时间就好了． "
"略肿,轻微敲打或碰击疼痛最为明显,坐或躺时间稍长",治疗可用中医外科膏药-金创活络膏外敷，1-2疗程可康复。作用：舒筋活血，消肿止痛，活血散淤，怯风散寒，软坚散结。主要治疗：1．骨膜炎、滑膜炎、膝盖积水、关节肿痛、新旧骨筋损伤疼痛。2．跌打损伤、腰肌劳损、颈椎疼痛、肩周炎、脊椎炎，椎间盘突出。 
脚踝错位、韧带撕裂已十个月，脚踝还肿，请问怎样能恢,"你好,关节脱臼和错位,都会造成韧带拉伤或断裂(严重的错位,还会考虑关节软骨磨损,软骨损伤一般半年后,磨损加重后才会感发,那时活动负重时会有少许疼痛,活动关节时或会出现磨损的响声等),韧带损伤后,自身恢复是很难的,时间太长,只会更向里缩.影响关节弯曲活动和局部肿胀.对于韧带损伤,建议中医治疗,相对而言,中医对骨伤的治疗是很有特效的.对治愈把握很大,因为它是用药来促进修复,所以很快愈合.在选药方面,如果能选用纯野生山林药材外敷治疗,恢复会更好更快.外敷用药10天断裂的韧带就可以接上,再用药修复20天就可以痊愈,关节弯曲恢复正常,肿疼消除.病人都需要了解的一点就是,治病要治本,而不是治疗病症.对于韧带损伤,就需要修复韧带,而且不是一味的去消肿.饮食忌吃公鸡,牛肉和姜.多平躺休息,不宜过多活动. "
左足第五趾骨基底部骨折,你好，7周了，可以行走了。半年内避免剧烈活动。坚持补钙即可。 
,
请问双足后跟和双股骨根外侧疼痛是什么病?,你好，踝骨综合症是胫神经压迫引起脚麻感觉。你的不是，象是筋膜炎，可以封闭治疗。 
左腿膝盖有些疼，有时候感觉有股寒气罩着,指导意见：
大脚掌跟部巨痛是什么,"你好!你的病是以前伤引起的,现在拍片可能已经有骨刺.建议用草药外敷可以解决. "
指甲变灰随即脱落是怎么回事?,这可能是灰指甲，看皮肤科就行。 
关于骨伤恢复问题,你好，长期制动，引起关节僵硬。只有逐步锻炼，家人护理就是。 
右距骨开放性骨折,你好，拄双拐半年，避免患足负重。坚持热水泡脚，自我按摩，补钙，练习关节灵活程度。 
醫生:，看到中國骨折網有你的郵址,你好，最好上传X片。效果不理想。手术可能性大。 
脚扭伤何时能正常走动,"可能伤到了韧带,需要半个月左右才开始恢复,一个月左右可恢复基本的功能,完全恢复正常大概要半年左右.这里的医生都是用业余时间在这里回答问题的,请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
"我的脚踝骨距骨粉碎性骨折已经一个月了,但是距骨粉碎的患处几乎没有愈合",你好。距骨骨折粉碎性骨折，影响血运，容易出现骨折不愈合，骨坏死。因此要定期复查。如果出现距骨疼痛，就有可能是坏死。只要身体条件允许，是可以适当或性生活的，但要注意不要太频繁。
"踢足球带球前冲急仃时,左脚落地促伤。現觉脚眼腕部酸",
"我胫骨骨折有20多天了,现在膝盖部位还有些肿",你好，跟你说的这种情况来看，如果出现了膝关节骨折的情况发生，这种情况下有可能会导致活动受限的情况，建议可以进行。放射性的检查
膝盖骨刺增生任何治疗？,针对患者的年龄及症状，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结疗效甚佳。祝患者好运！！！ 
脚裸处疼痛,当为寒湿客犯，吃祛寒湿的中药！ 
腿关节病应做怎样的检查?,建议去医院检查风湿病科。做血常规、血沉、抗“O”、类风湿因子、RF定量、风湿多肽、抗CCP抗体、抗DNA酶B、HLA-B27。根据结果的具体情况明确诊断。 
腿关节病应做怎样的检查?,"查X线,CT.这里的医生都是用业余时间在这里回答问题的,请及时点击""采纳为答案"",这是对他们热心帮助的唯一肯定,谢谢! "
中医外科膏药贴敷那里可以得到?,你好，伤湿止痛膏即可。 
您好，我的脚踝骨距骨粉碎性骨折已经一个月了，但是距,"你好,脚踝骨距骨粉碎性骨折一个月是愈合不了的,俗话说伤筋动骨一百天.愈合的再快也许要时间和过程.平时注意抬高患肢,患肢低下放置个枕头,可以帮助血液循环.可以在床上活动患肢的各个关节及脚趾.以免引起肌肉萎缩及距骨容易形成坏死,平时需要不负重的情况下多活动锻炼.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,可以帮助骨折提前愈合,5天症状明显减轻,20天拍片就可以明显看到骨痂形成,这时就可以负重活动，在保养１0天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的. "
脚上多趾什么时候做切除手术最好？,你好，很高兴能为你解答问题，你描述的这种情况建议在学会走路前做手术切除。以免引起学走路及走路姿势，穿鞋不合适等，这种手术不会影响小孩大脑发育的。
脚踝扭伤一年，韧带撕裂怎么办,"你好,从你的症状上看,不单韧带有拉伤,而且关节的软骨也有磨损现象.单纯的石膏固定静养是不可以痊愈的,如果能恢复,已扭伤一年多了,也早该就好了.现在你的关节出现摩擦的响声,这是软骨磨损的症状,如果是韧带有拉伤,关节弯曲多会受到限制,只要用药修复软骨和韧带,这些症状就会消除.建议你选用中医治疗,在中医用药方面,最好选用野生山林药材,一般能够选用野生山林药材治疗的话,韧带治疗一般在10天左右就可以修复,25天左右就可以恢复正常为的弯曲.而软骨的损伤,治疗所需要的时间则要长一些,早期治疗一般在35天左右可以痊愈,恢复正常.一年以上的,时间可能需要延长一些.饮食需要忌吃公鸡,鲤鱼,酸笋,牛肉和姜,消炎药,激素药最好不要用.平时多卧床休息. "
"扬益兵回答的很肯定—手术成功很有把握-我相信,但会不会手术后",你好。速度很慢，关键是矫正了，受力均匀，没有挤压了。 
脚踝韧带拉伤拉`````,"你好,从你的症状上看,除了韧带有拉伤外,有可能软骨也有轻度磨损现象,因为韧带损伤,疼痛一般不明显.软组织损伤,建议你选用中医治疗,选用针对修复软组织的药治疗,一般跌打损伤的药,治疗帮助不大,多是局部的活血化瘀,能选用野生的药材最好.确诊韧带损伤,只需要外敷用药20到30天就可以修复好,关节弯曲恢复正常,行走有劲.韧带损伤后,未治愈前,忌吃公鸡,牛肉和姜.多休息. "
脚踝韧带拉伤。。。。。,"你好,根据你的描述，骨头有无裂伤,如果骨头没有伤，那就是软组织(韧带、软骨、肌腱）损伤，软组织一旦撕裂损伤，自行修复的比较缓慢，建议用药物进行治疗，平时少活动,不能刻意去弯曲关节,这样只会加重韧带的损伤,修复后韧带自然可以恢复正常. "
